ds,ds,crashes
2019-01-01,2019-01-01,429
2019-01-02,2019-01-02,502
2019-01-03,2019-01-03,504
2019-01-04,2019-01-04,598
2019-01-05,2019-01-05,455
2019-01-06,2019-01-06,376
2019-01-07,2019-01-07,583
2019-01-08,2019-01-08,571
2019-01-09,2019-01-09,514
2019-01-10,2019-01-10,580
2019-01-11,2019-01-11,644
2019-01-12,2019-01-12,520
2019-01-13,2019-01-13,374
2019-01-14,2019-01-14,703
2019-01-15,2019-01-15,618
2019-01-16,2019-01-16,579
2019-01-17,2019-01-17,586
2019-01-18,2019-01-18,596
2019-01-19,2019-01-19,479
2019-01-20,2019-01-20,411
2019-01-21,2019-01-21,412
2019-01-22,2019-01-22,627
2019-01-23,2019-01-23,553
2019-01-24,2019-01-24,592
2019-01-25,2019-01-25,666
2019-01-26,2019-01-26,533
2019-01-27,2019-01-27,445
2019-01-28,2019-01-28,565
2019-01-29,2019-01-29,681
2019-01-30,2019-01-30,630
2019-01-31,2019-01-31,601
2019-02-01,2019-02-01,651
2019-02-02,2019-02-02,577
2019-02-03,2019-02-03,491
2019-02-04,2019-02-04,651
2019-02-05,2019-02-05,570
2019-02-06,2019-02-06,615
2019-02-07,2019-02-07,588
2019-02-08,2019-02-08,661
2019-02-09,2019-02-09,540
2019-02-10,2019-02-10,445
2019-02-11,2019-02-11,568
2019-02-12,2019-02-12,687
2019-02-13,2019-02-13,639
2019-02-14,2019-02-14,664
2019-02-15,2019-02-15,616
2019-02-16,2019-02-16,535
2019-02-17,2019-02-17,439
2019-02-18,2019-02-18,406
2019-02-19,2019-02-19,527
2019-02-20,2019-02-20,615
2019-02-21,2019-02-21,597
2019-02-22,2019-02-22,546
2019-02-23,2019-02-23,439
2019-02-24,2019-02-24,401
2019-02-25,2019-02-25,700
2019-02-26,2019-02-26,670
2019-02-27,2019-02-27,529
2019-02-28,2019-02-28,699
2019-03-01,2019-03-01,711
2019-03-02,2019-03-02,642
2019-03-03,2019-03-03,503
2019-03-04,2019-03-04,503
2019-03-05,2019-03-05,639
2019-03-06,2019-03-06,589
2019-03-07,2019-03-07,556
2019-03-08,2019-03-08,652
2019-03-09,2019-03-09,523
2019-03-10,2019-03-10,462
2019-03-11,2019-03-11,645
2019-03-12,2019-03-12,586
2019-03-13,2019-03-13,562
2019-03-14,2019-03-14,611
2019-03-15,2019-03-15,673
2019-03-16,2019-03-16,550
2019-03-17,2019-03-17,419
2019-03-18,2019-03-18,575
2019-03-19,2019-03-19,565
2019-03-20,2019-03-20,584
2019-03-21,2019-03-21,624
2019-03-22,2019-03-22,718
2019-03-23,2019-03-23,530
2019-03-24,2019-03-24,466
2019-03-25,2019-03-25,526
2019-03-26,2019-03-26,610
2019-03-27,2019-03-27,562
2019-03-28,2019-03-28,644
2019-03-29,2019-03-29,563
2019-03-30,2019-03-30,516
2019-03-31,2019-03-31,450
2019-04-01,2019-04-01,602
2019-04-02,2019-04-02,553
2019-04-03,2019-04-03,613
2019-04-04,2019-04-04,660
2019-04-05,2019-04-05,701
2019-04-06,2019-04-06,587
2019-04-07,2019-04-07,487
2019-04-08,2019-04-08,594
2019-04-09,2019-04-09,537
2019-04-10,2019-04-10,633
2019-04-11,2019-04-11,537
2019-04-12,2019-04-12,688
2019-04-13,2019-04-13,599
2019-04-14,2019-04-14,457
2019-04-15,2019-04-15,657
2019-04-16,2019-04-16,638
2019-04-17,2019-04-17,620
2019-04-18,2019-04-18,540
2019-04-19,2019-04-19,551
2019-04-20,2019-04-20,456
2019-04-21,2019-04-21,398
2019-04-22,2019-04-22,522
2019-04-23,2019-04-23,592
2019-04-24,2019-04-24,515
2019-04-25,2019-04-25,518
2019-04-26,2019-04-26,500
2019-04-27,2019-04-27,526
2019-04-28,2019-04-28,395
2019-04-29,2019-04-29,565
2019-04-30,2019-04-30,587
2019-05-01,2019-05-01,599
2019-05-02,2019-05-02,668
2019-05-03,2019-05-03,651
2019-05-04,2019-05-04,553
2019-05-05,2019-05-05,529
2019-05-06,2019-05-06,630
2019-05-07,2019-05-07,647
2019-05-08,2019-05-08,649
2019-05-09,2019-05-09,593
2019-05-10,2019-05-10,660
2019-05-11,2019-05-11,637
2019-05-12,2019-05-12,589
2019-05-13,2019-05-13,613
2019-05-14,2019-05-14,621
2019-05-15,2019-05-15,691
2019-05-16,2019-05-16,642
2019-05-17,2019-05-17,726
2019-05-18,2019-05-18,649
2019-05-19,2019-05-19,547
2019-05-20,2019-05-20,689
2019-05-21,2019-05-21,745
2019-05-22,2019-05-22,693
2019-05-23,2019-05-23,722
2019-05-24,2019-05-24,728
2019-05-25,2019-05-25,520
2019-05-26,2019-05-26,510
2019-05-27,2019-05-27,442
2019-05-28,2019-05-28,654
2019-05-29,2019-05-29,601
2019-05-30,2019-05-30,625
2019-05-31,2019-05-31,765
2019-06-01,2019-06-01,557
2019-06-02,2019-06-02,515
2019-06-03,2019-06-03,659
2019-06-04,2019-06-04,615
2019-06-05,2019-06-05,655
2019-06-06,2019-06-06,744
2019-06-07,2019-06-07,734
2019-06-08,2019-06-08,580
2019-06-09,2019-06-09,526
2019-06-10,2019-06-10,613
2019-06-11,2019-06-11,682
2019-06-12,2019-06-12,686
2019-06-13,2019-06-13,634
2019-06-14,2019-06-14,749
2019-06-15,2019-06-15,620
2019-06-16,2019-06-16,509
2019-06-17,2019-06-17,552
2019-06-18,2019-06-18,721
2019-06-19,2019-06-19,591
2019-06-20,2019-06-20,697
2019-06-21,2019-06-21,771
2019-06-22,2019-06-22,635
2019-06-23,2019-06-23,559
2019-06-24,2019-06-24,731
2019-06-25,2019-06-25,662
2019-06-26,2019-06-26,803
2019-06-27,2019-06-27,734
2019-06-28,2019-06-28,753
2019-06-29,2019-06-29,660
2019-06-30,2019-06-30,569
2019-07-01,2019-07-01,693
2019-07-02,2019-07-02,591
2019-07-03,2019-07-03,654
2019-07-04,2019-07-04,394
2019-07-05,2019-07-05,542
2019-07-06,2019-07-06,471
2019-07-07,2019-07-07,441
2019-07-08,2019-07-08,592
2019-07-09,2019-07-09,661
2019-07-10,2019-07-10,553
2019-07-11,2019-07-11,658
2019-07-12,2019-07-12,747
2019-07-13,2019-07-13,558
2019-07-14,2019-07-14,497
2019-07-15,2019-07-15,637
2019-07-16,2019-07-16,658
2019-07-17,2019-07-17,630
2019-07-18,2019-07-18,620
2019-07-19,2019-07-19,666
2019-07-20,2019-07-20,586
2019-07-21,2019-07-21,477
2019-07-22,2019-07-22,640
2019-07-23,2019-07-23,553
2019-07-24,2019-07-24,626
2019-07-25,2019-07-25,605
2019-07-26,2019-07-26,650
2019-07-27,2019-07-27,602
2019-07-28,2019-07-28,527
2019-07-29,2019-07-29,649
2019-07-30,2019-07-30,638
2019-07-31,2019-07-31,604
2019-08-01,2019-08-01,618
2019-08-02,2019-08-02,610
2019-08-03,2019-08-03,566
2019-08-04,2019-08-04,499
2019-08-05,2019-08-05,616
2019-08-06,2019-08-06,551
2019-08-07,2019-08-07,608
2019-08-08,2019-08-08,646
2019-08-09,2019-08-09,645
2019-08-10,2019-08-10,572
2019-08-11,2019-08-11,484
2019-08-12,2019-08-12,586
2019-08-13,2019-08-13,469
2019-08-14,2019-08-14,537
2019-08-15,2019-08-15,560
2019-08-16,2019-08-16,523
2019-08-17,2019-08-17,533
2019-08-18,2019-08-18,481
2019-08-19,2019-08-19,563
2019-08-20,2019-08-20,574
2019-08-21,2019-08-21,522
2019-08-22,2019-08-22,587
2019-08-23,2019-08-23,569
2019-08-24,2019-08-24,514
2019-08-25,2019-08-25,482
2019-08-26,2019-08-26,494
2019-08-27,2019-08-27,529
2019-08-28,2019-08-28,553
2019-08-29,2019-08-29,592
2019-08-30,2019-08-30,630
2019-08-31,2019-08-31,502
2019-09-01,2019-09-01,473
2019-09-02,2019-09-02,427
2019-09-03,2019-09-03,652
2019-09-04,2019-09-04,600
2019-09-05,2019-09-05,628
2019-09-06,2019-09-06,591
2019-09-07,2019-09-07,489
2019-09-08,2019-09-08,462
2019-09-09,2019-09-09,603
2019-09-10,2019-09-10,605
2019-09-11,2019-09-11,624
2019-09-12,2019-09-12,689
2019-09-13,2019-09-13,687
2019-09-14,2019-09-14,488
2019-09-15,2019-09-15,604
2019-09-16,2019-09-16,620
2019-09-17,2019-09-17,635
2019-09-18,2019-09-18,605
2019-09-19,2019-09-19,605
2019-09-20,2019-09-20,688
2019-09-21,2019-09-21,577
2019-09-22,2019-09-22,515
2019-09-23,2019-09-23,639
2019-09-24,2019-09-24,628
2019-09-25,2019-09-25,604
2019-09-26,2019-09-26,645
2019-09-27,2019-09-27,703
2019-09-28,2019-09-28,532
2019-09-29,2019-09-29,488
2019-09-30,2019-09-30,435
2019-10-01,2019-10-01,454
2019-10-02,2019-10-02,688
2019-10-03,2019-10-03,690
2019-10-04,2019-10-04,708
2019-10-05,2019-10-05,557
2019-10-06,2019-10-06,435
2019-10-07,2019-10-07,575
2019-10-08,2019-10-08,523
2019-10-09,2019-10-09,383
2019-10-10,2019-10-10,615
2019-10-11,2019-10-11,606
2019-10-12,2019-10-12,502
2019-10-13,2019-10-13,441
2019-10-14,2019-10-14,400
2019-10-15,2019-10-15,549
2019-10-16,2019-10-16,658
2019-10-17,2019-10-17,608
2019-10-18,2019-10-18,634
2019-10-19,2019-10-19,586
2019-10-20,2019-10-20,500
2019-10-21,2019-10-21,559
2019-10-22,2019-10-22,562
2019-10-23,2019-10-23,669
2019-10-24,2019-10-24,613
2019-10-25,2019-10-25,647
2019-10-26,2019-10-26,525
2019-10-27,2019-10-27,467
2019-10-28,2019-10-28,607
2019-10-29,2019-10-29,639
2019-10-30,2019-10-30,595
2019-10-31,2019-10-31,616
2019-11-01,2019-11-01,782
2019-11-02,2019-11-02,506
2019-11-03,2019-11-03,479
2019-11-04,2019-11-04,623
2019-11-05,2019-11-05,440
2019-11-06,2019-11-06,615
2019-11-07,2019-11-07,669
2019-11-08,2019-11-08,676
2019-11-09,2019-11-09,502
2019-11-10,2019-11-10,457
2019-11-11,2019-11-11,481
2019-11-12,2019-11-12,595
2019-11-13,2019-11-13,599
2019-11-14,2019-11-14,545
2019-11-15,2019-11-15,621
2019-11-16,2019-11-16,527
2019-11-17,2019-11-17,444
2019-11-18,2019-11-18,743
2019-11-19,2019-11-19,629
2019-11-20,2019-11-20,526
2019-11-21,2019-11-21,647
2019-11-22,2019-11-22,633
2019-11-23,2019-11-23,528
2019-11-24,2019-11-24,517
2019-11-25,2019-11-25,641
2019-11-26,2019-11-26,702
2019-11-27,2019-11-27,561
2019-11-28,2019-11-28,374
2019-11-29,2019-11-29,425
2019-11-30,2019-11-30,465
2019-12-01,2019-12-01,409
2019-12-02,2019-12-02,580
2019-12-03,2019-12-03,620
2019-12-04,2019-12-04,552
2019-12-05,2019-12-05,597
2019-12-06,2019-12-06,563
2019-12-07,2019-12-07,566
2019-12-08,2019-12-08,455
2019-12-09,2019-12-09,737
2019-12-10,2019-12-10,667
2019-12-11,2019-12-11,578
2019-12-12,2019-12-12,599
2019-12-13,2019-12-13,760
2019-12-14,2019-12-14,577
2019-12-15,2019-12-15,503
2019-12-16,2019-12-16,519
2019-12-17,2019-12-17,700
2019-12-18,2019-12-18,701
2019-12-19,2019-12-19,698
2019-12-20,2019-12-20,698
2019-12-21,2019-12-21,520
2019-12-22,2019-12-22,510
2019-12-23,2019-12-23,593
2019-12-24,2019-12-24,530
2019-12-25,2019-12-25,264
2019-12-26,2019-12-26,414
2019-12-27,2019-12-27,448
2019-12-28,2019-12-28,355
2019-12-29,2019-12-29,384
2019-12-30,2019-12-30,518
2019-12-31,2019-12-31,443
2020-01-01,2020-01-01,337
2020-01-02,2020-01-02,410
2020-01-03,2020-01-03,452
2020-01-04,2020-01-04,347
2020-01-05,2020-01-05,286
2020-01-06,2020-01-06,455
2020-01-07,2020-01-07,402
2020-01-08,2020-01-08,451
2020-01-09,2020-01-09,517
2020-01-10,2020-01-10,520
2020-01-11,2020-01-11,438
2020-01-12,2020-01-12,387
2020-01-13,2020-01-13,473
2020-01-14,2020-01-14,497
2020-01-15,2020-01-15,507
2020-01-16,2020-01-16,547
2020-01-17,2020-01-17,565
2020-01-18,2020-01-18,773
2020-01-19,2020-01-19,360
2020-01-20,2020-01-20,389
2020-01-21,2020-01-21,554
2020-01-22,2020-01-22,489
2020-01-23,2020-01-23,450
2020-01-24,2020-01-24,523
2020-01-25,2020-01-25,383
2020-01-26,2020-01-26,395
2020-01-27,2020-01-27,451
2020-01-28,2020-01-28,404
2020-01-29,2020-01-29,491
2020-01-30,2020-01-30,522
2020-01-31,2020-01-31,517
2020-02-01,2020-02-01,409
2020-02-02,2020-02-02,389
2020-02-03,2020-02-03,558
2020-02-04,2020-02-04,464
2020-02-05,2020-02-05,432
2020-02-06,2020-02-06,544
2020-02-07,2020-02-07,604
2020-02-08,2020-02-08,466
2020-02-09,2020-02-09,371
2020-02-10,2020-02-10,571
2020-02-11,2020-02-11,458
2020-02-12,2020-02-12,438
2020-02-13,2020-02-13,503
2020-02-14,2020-02-14,631
2020-02-15,2020-02-15,440
2020-02-16,2020-02-16,387
2020-02-17,2020-02-17,339
2020-02-18,2020-02-18,426
2020-02-19,2020-02-19,477
2020-02-20,2020-02-20,448
2020-02-21,2020-02-21,502
2020-02-22,2020-02-22,407
2020-02-23,2020-02-23,392
2020-02-24,2020-02-24,493
2020-02-25,2020-02-25,526
2020-02-26,2020-02-26,449
2020-02-27,2020-02-27,581
2020-02-28,2020-02-28,529
2020-02-29,2020-02-29,456
2020-03-01,2020-03-01,423
2020-03-02,2020-03-02,562
2020-03-03,2020-03-03,550
2020-03-04,2020-03-04,540
2020-03-05,2020-03-05,529
2020-03-06,2020-03-06,673
2020-03-07,2020-03-07,515
2020-03-08,2020-03-08,408
2020-03-09,2020-03-09,545
2020-03-10,2020-03-10,450
2020-03-11,2020-03-11,473
2020-03-12,2020-03-12,455
2020-03-13,2020-03-13,551
2020-03-14,2020-03-14,370
2020-03-15,2020-03-15,331
2020-03-16,2020-03-16,378
2020-03-17,2020-03-17,374
2020-03-18,2020-03-18,297
2020-03-19,2020-03-19,337
2020-03-20,2020-03-20,305
2020-03-21,2020-03-21,237
2020-03-22,2020-03-22,139
2020-03-23,2020-03-23,225
2020-03-24,2020-03-24,200
2020-03-25,2020-03-25,168
2020-03-26,2020-03-26,187
2020-03-27,2020-03-27,195
2020-03-28,2020-03-28,183
2020-03-29,2020-03-29,146
2020-03-30,2020-03-30,164
2020-03-31,2020-03-31,157
